epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,140.531,0.36745,0.30128,0.85119,0.94578,1,0.995,0.9535,0.28221,0.37469,0.82338,0.000548,0.000548,0.000548
46,142.973,0.38979,0.31005,0.86166,0.97328,1,0.995,0.96896,0.27365,0.23719,0.82357,0.000515,0.000515,0.000515
47,145.476,0.38434,0.30761,0.86856,0.98263,1,0.995,0.995,0.24581,0.22462,0.82047,0.000482,0.000482,0.000482
48,148.653,0.36769,0.28548,0.83975,0.98867,1,0.995,0.98598,0.25319,0.22713,0.81955,0.000449,0.000449,0.000449
49,151.083,0.38487,0.31501,0.85508,0.99052,1,0.995,0.995,0.26005,0.22348,0.81959,0.000416,0.000416,0.000416
50,153.558,0.36528,0.30198,0.8385,0.99003,1,0.995,0.97882,0.26323,0.21772,0.8199,0.000383,0.000383,0.000383
51,157.47,0.37622,0.37791,0.84586,0.98926,1,0.995,0.9819,0.24696,0.21314,0.82349,0.00035,0.00035,0.00035
52,160.454,0.32166,0.27571,0.83329,0.9903,1,0.995,0.995,0.23594,0.21344,0.82551,0.000317,0.000317,0.000317
53,163.18,0.32179,0.24898,0.81152,0.99071,1,0.995,0.995,0.23939,0.2076,0.82547,0.000284,0.000284,0.000284
54,165.733,0.30653,0.24895,0.80917,0.99226,1,0.995,0.98525,0.24096,0.19007,0.82333,0.000251,0.000251,0.000251
55,168.134,0.32878,0.28588,0.81781,0.9928,1,0.995,0.995,0.24964,0.18337,0.82257,0.000218,0.000218,0.000218
56,170.736,0.32366,0.24998,0.82131,0.99251,1,0.995,0.995,0.23472,0.18045,0.8202,0.000185,0.000185,0.000185
57,173.997,0.32757,0.26374,0.81724,0.99191,1,0.995,0.995,0.23648,0.18098,0.82067,0.000152,0.000152,0.000152
58,176.578,0.30602,0.25449,0.80149,0.99087,1,0.995,0.995,0.23724,0.18476,0.82216,0.000119,0.000119,0.000119
59,179.05,0.3081,0.24757,0.83135,0.99106,1,0.995,0.995,0.23384,0.173,0.82366,8.6e-05,8.6e-05,8.6e-05
60,181.577,0.29917,0.24817,0.83176,0.99129,1,0.995,0.995,0.22832,0.16739,0.82234,5.3e-05,5.3e-05,5.3e-05
